Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
22/23,18,Hellas Verona,31,38,7,10,21,31,59,-28,Simone Verdi,5
22/23,19,Cremonese,27,38,5,12,21,36,69,-33,Daniel Ciofani,8
22/23,20,Sampdoria,19,38,3,10,25,24,71,-47,Manolo Gabbiadini,7
23/24,1,Inter,94,38,29,7,2,89,22,+67,Lautaro Martínez,24
23/24,2,Milan,75,38,22,9,7,76,49,+27,Olivier Giroud,15
23/24,3,Juventus,71,38,19,14,5,54,31,+23,Dušan Vlahović,16
23/24,4,Atalanta,69,38,21,6,11,72,42,+30,Gianluca Scamacca,12
23/24,5,Bologna,68,38,18,14,6,54,32,+22,Joshua Zirkzee,11
23/24,6,Roma,63,38,18,9,11,65,46,+19,Romelu Lukaku,13
23/24,7,Lazio,61,38,18,7,13,49,39,+10,Ciro Immobile,7
23/24,8,Fiorentina,60,38,17,9,12,61,46,+15,Nicolás González,12
23/24,9,Torino,53,38,13,14,11,36,36,0,Duván Zapata,12
23/24,10,Napoli,53,38,13,14,11,55,48,+7,Victor Osimhen,15
23/24,11,Genoa,49,38,12,13,13,45,45,0,Albert Guðmundsson,14
23/24,12,Monza,45,38,11,12,15,39,51,-12,Andrea Colpani,8
23/24,13,Hellas Verona,38,38,9,11,18,38,51,-13,Cyril Ngonge,6
23/24,14,Lecce,38,38,8,14,16,32,54,-22,Nikola Krstović,7
23/24,15,Udinese,37,38,6,19,13,37,53,-16,Lorenzo Lucca,8
23/24,16,Cagliari,36,38,8,12,18,42,68,-26,Nicolas Viola,5
23/24,17,Empoli,36,38,9,9,20,29,54,-25,M'Baye Niang,6
23/24,18,Frosinone,35,38,8,11,19,44,69,-25,Matìas Soulé,11
23/24,19,Sassuolo,30,38,7,9,22,43,75,-32,Andrea Pinamonti,11
23/24,20,Salernitana,17,38,2,11,25,32,81,-49,Antonio Candreva,6
24/25,1,Napoli,82,38,24,10,4,59,27,+32,Romelu Lukaku,14
24/25,2,Inter,81,37,24,9,4,79,32,+47,Marcus Thuram,14
24/25,3,Atalanta,74,38,22,8,8,78,37,+41,Mateo Retegui,25
24/25,4,Juventus,70,38,18,16,4,58,35,+23,Dušan Vlahović,10
24/25,5,Roma,69,38,20,9,9,56,35,+21,Artem Dovbyk,12
24/25,6,Lazio,65,38,18,11,9,61,49,+12,Pedro,10
24/25,7,Milan,63,38,18,9,11,61,43,+18,Christian Pulisic,11
24/25,8,Fiorentina,62,37,18,8,11,57,41,+16,Moise Kean,17
24/25,9,Bologna,62,38,16,14,8,57,47,+10,Riccardo Orsolini,15
24/25,10,Como,49,38,13,10,15,49,52,-3,Assane Diao,8
24/25,11,Torino,44,38,10,14,14,39,45,-6,Che Adams,9
24/25,12,Udinese,44,38,12,8,18,41,56,-15,Lorenzo Lucca,12
24/25,13,Genoa,43,38,10,13,15,37,49,-12,Andrea Pinamonti,10
24/25,14,Hellas Verona,37,38,10,7,21,34,66,-32,Casper Tengstedt,6
24/25,15,Cagliari,36,38,9,9,20,40,56,-16,Roberto Piccoli,10
24/25,16,Parma,36,38,7,15,16,44,58,-14,Ange-Yoan Bonny,6
24/25,17,Lecce,34,38,8,10,20,27,58,-31,Nikola Krstović,11
24/25,18,Empoli,31,38,6,13,19,33,59,-26,Sebastiano Esposito,8
24/25,19,Venezia,29,38,5,14,19,32,56,-24,Joel Pohjanpalo,6
24/25,20,Monza,18,38,3,9,26,28,69,-41,Dany Mota,5
