Season,#,Team,Points,MP,W,D,L,GF,GA,GD
05/06,6,RC Celta,64,38,20,4,14,45,33,12
05/06,7,Villarreal CF,57,38,14,15,9,50,39,11
05/06,8,RC Deportivo,55,38,15,10,13,47,45,2
05/06,9,Getafe CF,54,38,15,9,14,54,49,5
05/06,10,Atlético Madrid,52,38,13,13,12,45,37,8
05/06,11,Real Zaragoza,46,38,10,16,12,46,51,-5
05/06,12,Athletic,45,38,11,12,15,40,46,-6
05/06,13,RCD Mallorca,43,38,10,13,15,37,51,-14
05/06,14,Real Betis,42,38,10,12,16,34,51,-17
05/06,15,RCD Espanyol,41,38,10,11,17,36,56,-20
05/06,16,Real Sociedad,40,38,11,7,20,48,65,-17
05/06,17,Racing,40,38,9,13,16,36,49,-13
05/06,18,Alavés,39,38,9,12,17,35,54,-19
05/06,19,Cádiz CF,36,38,8,12,18,36,52,-16
05/06,20,Málaga CF,24,38,5,9,24,36,68,-32
06/07,1,Real Madrid,76,38,23,7,8,66,40,26
06/07,2,FC Barcelona,76,38,22,10,6,78,33,45
06/07,3,Sevilla FC,71,38,21,8,9,64,35,29
06/07,4,Valencia CF,66,38,20,6,12,57,42,15
06/07,5,Villarreal CF,62,38,18,8,12,48,44,4
06/07,6,Real Zaragoza,60,38,16,12,10,55,43,12
06/07,7,Atlético Madrid,60,38,17,9,12,46,39,7
06/07,8,Recreativo,54,38,15,9,14,54,52,2
06/07,9,Getafe CF,52,38,14,10,14,39,33,6
06/07,10,Racing,50,38,12,14,12,42,48,-6
06/07,11,RCD Mallorca,49,38,14,7,17,41,47,-6
06/07,12,RCD Espanyol,49,38,12,13,13,46,53,-7
06/07,13,RC Deportivo,47,38,12,11,15,32,45,-13
06/07,14,CA Osasuna,46,38,13,7,18,51,49,2
06/07,15,Levante UD,42,38,10,12,16,37,53,-16
06/07,16,Real Betis,40,38,8,16,14,36,49,-13
06/07,17,Athletic,40,38,10,10,18,44,62,-18
06/07,18,RC Celta,39,38,10,9,19,40,59,-19
06/07,19,Real Sociedad,35,38,8,11,19,32,47,-15
06/07,20,Gimnàstic,28,38,7,7,24,34,69,-35
07/08,1,Real Madrid,85,38,27,4,7,84,36,48
07/08,2,Villarreal CF,77,38,24,5,9,63,40,23
07/08,3,FC Barcelona,67,38,19,10,9,76,43,33
07/08,4,Atlético Madrid,64,38,19,7,12,66,47,19
07/08,5,Sevilla FC,64,38,20,4,14,75,49,26
07/08,6,Racing,60,38,17,9,12,42,41,1
