Season,#,Team,Points,MP,W,D,L,GF,GA,GD
22/23,19,RCD Espanyol,37,38,8,13,17,52,69,-17
22/23,20,Elche CF,25,38,5,10,23,30,67,-37
23/24,1,Real Madrid,95,38,29,8,1,87,26,61
23/24,2,FC Barcelona,85,38,26,7,5,79,44,35
23/24,3,Girona FC,81,38,25,6,7,85,46,39
23/24,4,Atlético Madrid,76,38,24,4,10,70,43,27
23/24,5,Athletic,68,38,19,11,8,61,37,24
23/24,6,Real Sociedad,60,38,16,12,10,51,39,12
23/24,7,Real Betis,57,38,14,15,9,48,45,3
23/24,8,Villarreal CF,53,38,14,11,13,65,65,0
23/24,9,Valencia CF,49,38,13,10,15,40,45,-5
23/24,10,Alavés,46,38,12,10,16,36,46,-10
23/24,11,CA Osasuna,45,38,12,9,17,45,56,-11
23/24,12,Getafe CF,43,38,10,13,15,42,54,-12
23/24,13,Sevilla FC,41,38,10,11,17,48,54,-6
23/24,14,RC Celta,41,38,10,11,17,46,57,-11
23/24,15,RCD Mallorca,40,38,8,16,14,33,44,-11
23/24,16,UD Las Palmas,40,38,10,10,18,33,47,-14
23/24,17,Rayo Vallecano,38,38,8,14,16,29,48,-19
23/24,18,Cádiz CF,33,38,6,15,17,26,55,-29
23/24,19,UD Almería,21,38,3,12,23,43,75,-32
23/24,20,Granada CF,21,38,4,9,25,38,79,-41
24/25,1,FC Barcelona,88,38,28,4,6,102,39,63
24/25,2,Real Madrid,84,38,26,6,6,78,38,40
24/25,3,Atlético Madrid,76,38,22,10,6,68,30,38
24/25,4,Athletic,70,38,19,13,6,54,29,25
24/25,5,Villarreal CF,70,38,20,10,8,71,51,20
24/25,6,Real Betis,60,38,16,12,10,57,50,7
24/25,7,RC Celta,55,38,16,7,15,59,57,2
24/25,8,Rayo Vallecano,52,38,13,13,12,41,45,-4
24/25,9,CA Osasuna,52,38,12,16,10,48,52,-4
24/25,10,RCD Mallorca,48,38,13,9,16,35,44,-9
24/25,11,Real Sociedad,46,38,13,7,18,35,46,-11
24/25,12,Valencia CF,46,38,11,13,14,44,54,-10
24/25,13,Getafe CF,42,38,11,9,18,34,39,-5
24/25,14,RCD Espanyol,42,38,11,9,18,40,51,-11
24/25,15,Alavés,42,38,10,12,16,38,48,-10
24/25,16,Girona FC,41,38,11,8,19,44,60,-16
24/25,17,Sevilla FC,41,38,10,11,17,42,55,-13
24/25,18,CD Leganés,40,38,9,13,16,39,56,-17
24/25,19,UD Las Palmas,32,38,8,8,22,40,61,-21
24/25,20,Real Valladolid,16,38,4,4,30,26,90,-64
