Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
17/18,3,Real Madrid,76,38,22,10,6,94,44,+50,Cristiano Ronaldo,26
17/18,4,Valencia,73,38,22,7,9,65,38,+27,Rodrigo,16
17/18,5,Villarreal,61,38,18,7,13,57,50,+7,Carlos Bacca,15
17/18,6,Betis,60,38,18,6,14,60,61,-1,Sergio León,11
17/18,7,Sevilla,58,38,17,7,14,49,58,-9,Wissam Ben Yedder,9
17/18,8,Getafe,55,38,15,10,13,42,33,+9,Ángel Rodríguez,13
17/18,9,Eibar,51,38,14,9,15,44,50,-6,Charles,8
17/18,10,Girona,51,38,14,9,15,50,59,-9,Cristhian Stuani,21
17/18,11,Espanyol,49,38,12,13,13,36,42,-6,Gerard Moreno,16
17/18,12,Real Sociedad,49,38,14,7,17,66,59,+7,Willian José,15
17/18,13,Celta Vigo,49,38,13,10,15,59,60,-1,Iago Aspas,22
17/18,14,Alavés,47,38,15,2,21,40,50,-10,Munir El Haddadi,10
17/18,15,Levante,46,38,11,13,14,44,58,-14,José Luis Morales,10
17/18,16,Athletic Club,43,38,10,13,15,41,49,-8,Raúl García,10
17/18,17,Leganés,43,38,12,7,19,34,51,-17,Gabriel,5
17/18,18,Deportivo,29,38,6,11,21,38,76,-38,Adrián López,9
17/18,19,Las Palmas,22,38,5,7,26,24,74,-50,Jonathan Calleri,9
17/18,20,Málaga,20,38,5,5,28,24,61,-37,Diego Rolán,5
18/19,1,Barcelona,87,38,26,9,3,90,36,+54,Lionel Messi,36
18/19,2,Atlético Madrid,76,38,22,10,6,55,29,+26,Antoine Griezmann,15
18/19,3,Real Madrid,68,38,21,5,12,63,46,+17,Karim Benzema,21
18/19,4,Valencia,61,38,15,16,7,51,35,+16,Daniel Parejo,9
18/19,5,Getafe,59,38,15,14,9,48,35,+13,Jorge Molina,14
18/19,6,Sevilla,59,38,17,8,13,62,47,+15,Wissam Ben Yedder,18
18/19,7,Espanyol,53,38,14,11,13,48,50,-2,Borja Iglesias,17
18/19,8,Athletic Club,53,38,13,14,11,41,45,-4,Iñaki Williams,13
18/19,9,Real Sociedad,50,38,13,11,14,45,46,-1,Mikel Oyarzabal,13
18/19,10,Betis,50,38,14,8,16,44,52,-8,Giovani Lo Celso,9
18/19,11,Alavés,50,38,13,11,14,39,50,-11,Jonathan Calleri,9
18/19,12,Eibar,47,38,11,14,13,46,50,-4,Charles,14
18/19,13,Leganés,45,38,11,12,15,37,43,-6,Youssef En-Nesyri,9
18/19,14,Villarreal,44,38,10,14,14,49,52,-3,Karl Toko Ekambi,10
18/19,15,Levante,44,38,11,11,16,59,66,-7,Roger Martí,13
18/19,16,Valladolid,41,38,10,11,17,32,51,-19,Enes Ünal,6
18/19,17,Celta Vigo,41,38,10,11,17,53,62,-9,Iago Aspas,20
18/19,18,Girona,37,38,9,10,19,37,53,-16,Cristhian Stuani,19
18/19,19,Huesca,33,38,7,12,19,43,65,-22,Ezequiel Ávila,10
18/19,20,Rayo Vallecano,32,38,8,8,22,41,70,-29,Raúl de Tomás,14
19/20,1,Real Madrid,87,38,26,9,3,70,25,+45,Karim Benzema,21
19/20,2,Barcelona,82,38,25,7,6,86,38,+48,Lionel Messi,25
19/20,3,Atlético Madrid,70,38,18,16,4,51,27,+24,Álvaro Morata,12
19/20,4,Sevilla,70,38,19,13,6,54,34,+20,Lucas Ocampos,14
19/20,5,Villarreal,60,38,18,6,14,63,49,+14,Gerard Moreno,18
19/20,6,Real Sociedad,56,38,16,8,14,56,48,+8,Willian José,11
19/20,7,Granada,56,38,16,8,14,52,45,+7,Carlos Fernández,10
19/20,8,Getafe,54,38,14,12,12,43,37,+6,Jaime Mata,11
19/20,9,Valencia,53,38,14,11,13,46,53,-7,Maxi Gómez,10
19/20,10,Osasuna,52,38,13,13,12,46,54,-8,Ezequiel Ávila,9
19/20,11,Athletic Club,51,38,13,12,13,41,38,+3,Raúl García,15
19/20,12,Levante,49,38,14,7,17,47,53,-6,Roger Martí,11
19/20,13,Valladolid,42,38,9,15,14,32,43,-11,Sergi Guardiola,8
19/20,14,Eibar,42,38,11,9,18,39,56,-17,Fabián Orellana,8
19/20,15,Betis,41,38,10,11,17,48,60,-12,Loren Morón,10
19/20,16,Alavés,39,38,10,9,19,34,59,-25,Joselu,11
19/20,17,Celta Vigo,37,38,7,16,15,37,49,-12,Iago Aspas,14
19/20,18,Leganés,36,38,8,12,18,30,51,-21,Óscar Rodríguez Arnaiz,9
19/20,19,Mallorca,33,38,9,6,23,40,65,-25,Ante Budimir,13
19/20,20,Espanyol,25,38,5,10,23,27,58,-31,Raúl de Tomás,4
20/21,1,Atlético Madrid,86,38,26,8,4,67,25,+42,Luis Suárez,21
20/21,2,Real Madrid,84,38,25,9,4,67,28,+39,Karim Benzema,23
20/21,3,Barcelona,79,38,24,7,7,85,38,+47,Lionel Messi,30
20/21,4,Sevilla,77,38,24,5,9,53,33,+20,Youssef En-Nesyri,18
20/21,5,Real Sociedad,62,38,17,11,10,59,38,+21,Alexander Isak,17
20/21,6,Betis,61,38,17,10,11,50,50,0,Borja Iglesias,11
20/21,7,Villarreal,58,38,15,13,10,60,44,+16,Gerard Moreno,23
20/21,8,Celta Vigo,53,38,14,11,13,55,57,-2,Iago Aspas,14
20/21,9,Granada,46,38,13,7,18,47,65,-18,Roberto Soldado,9
20/21,10,Athletic Club,46,38,11,13,14,46,42,+4,Álex Berenguer,8
20/21,11,Osasuna,44,38,11,11,16,37,48,-11,Ante Budimir,11
20/21,12,Cádiz,44,38,11,11,16,36,58,-22,Álvaro Negredo,8
20/21,13,Valencia,43,38,10,13,15,50,53,-3,Carlos Soler,11
20/21,14,Levante,41,38,9,14,15,46,57,-11,José Luis Morales,13
20/21,15,Getafe,38,38,9,11,18,28,43,-15,Ángel Rodríguez,5
20/21,16,Alavés,38,38,9,11,18,36,57,-21,Joselu,11
20/21,17,Elche,36,38,8,12,18,34,55,-21,Lucas Boyé,7
20/21,18,Huesca,34,38,7,13,18,34,53,-19,Rafa Mir,13
20/21,19,Valladolid,31,38,5,16,17,34,57,-23,Fabián Orellana,6
20/21,20,Eibar,30,38,6,12,20,29,52,-23,Kiké,12
21/22,1,Real Madrid,86,38,26,8,4,80,31,+49,Karim Benzema,27
21/22,2,Barcelona,73,38,21,10,7,68,38,+30,Memphis,12
21/22,3,Atlético Madrid,71,38,21,8,9,65,43,+22,Ángel Correa,12
21/22,4,Sevilla,70,38,18,16,4,53,30,+23,Rafa Mir,10
21/22,5,Betis,65,38,19,8,11,62,40,+22,Juanmi,16
21/22,6,Real Sociedad,62,38,17,11,10,40,37,+3,Mikel Oyarzabal,9
21/22,7,Villarreal,59,38,16,11,11,63,37,+26,Arnaut Danjuma,10
21/22,8,Athletic Club,55,38,14,13,11,43,36,+7,Iñaki Williams,8
21/22,9,Valencia,48,38,11,15,12,48,53,-5,Gonçalo Guedes,11
21/22,10,Osasuna,47,38,12,11,15,37,51,-14,Ante Budimir,8
21/22,11,Celta Vigo,46,38,12,10,16,43,43,0,Iago Aspas,18
21/22,12,Rayo Vallecano,42,38,11,9,18,39,50,-11,Sergi Guardiola,8
21/22,13,Elche,42,38,11,9,18,40,52,-12,Pere Milla,8
21/22,14,Espanyol,42,38,10,12,16,40,53,-13,Raúl de Tomás,17
21/22,15,Getafe,39,38,8,15,15,33,41,-8,Enes Ünal,16
21/22,16,Mallorca,39,38,10,9,19,36,63,-27,Vedat Muriqi,5
21/22,17,Cádiz,39,38,8,15,15,35,51,-16,Anthony Lozano,7
21/22,18,Granada,38,38,8,14,16,44,61,-17,Jorge Molina,10
21/22,19,Levante,35,38,8,11,19,51,76,-25,José Luis Morales,13
21/22,20,Alavés,31,38,8,7,23,31,65,-34,Joselu,14
22/23,1,Barcelona,88,38,28,4,6,70,20,+50,Robert Lewandowski,23
22/23,2,Real Madrid,78,38,24,6,8,75,36,+39,Karim Benzema,19
22/23,3,Atlético Madrid,77,38,23,8,7,70,33,+37,Antoine Griezmann,15
22/23,4,Real Sociedad,71,38,21,8,9,51,35,+16,Alexander Sørloth,12
22/23,5,Villarreal,64,38,19,7,12,59,40,+19,Nicolas Jackson,12
22/23,6,Betis,60,38,17,9,12,46,41,+5,Borja Iglesias,15
22/23,7,Osasuna,53,38,15,8,15,37,42,-5,Ante Budimir,8
22/23,8,Athletic Club,51,38,14,9,15,47,43,+4,Iñaki Williams,10
22/23,9,Mallorca,50,38,14,8,16,37,43,-6,Vedat Muriqi,15
22/23,10,Girona,49,38,13,10,15,58,55,+3,Valentín Castellanos,13
22/23,11,Rayo Vallecano,49,38,13,10,15,45,53,-8,Isaac Palazón Camacho,9
22/23,12,Sevilla,49,38,13,10,15,47,54,-7,Youssef En-Nesyri,8
22/23,13,Celta Vigo,43,38,11,10,17,43,53,-10,Iago Aspas,12
22/23,14,Cádiz,42,38,10,12,16,30,53,-23,Theo Bongonda,4
22/23,15,Getafe,42,38,10,12,16,34,45,-11,Enes Ünal,14
22/23,16,Valencia,42,38,11,9,18,42,45,-3,Samuel Lino,6
22/23,17,Almería,41,38,11,8,19,49,65,-16,El Bilal Touré,7
22/23,18,Valladolid,40,38,11,7,20,33,63,-30,Cyle Larin,8
22/23,19,Espanyol,37,38,8,13,17,52,69,-17,Joselu,16
22/23,20,Elche,25,38,5,10,23,30,67,-37,Lucas Boyé,7
23/24,1,Real Madrid,95,38,29,8,1,87,26,+61,Jude Bellingham,19
23/24,2,Barcelona,85,38,26,7,5,79,44,+35,Robert Lewandowski,19
23/24,3,Girona,81,38,25,6,7,85,46,+39,Artem Dovbyk,24
23/24,4,Atlético Madrid,76,38,24,4,10,70,43,+27,Antoine Griezmann,16
23/24,5,Athletic Club,68,38,19,11,8,61,37,+24,Gorka Guruzeta,14
23/24,6,Real Sociedad,60,38,16,12,10,51,39,+12,Mikel Oyarzabal,9
23/24,7,Betis,57,38,14,15,9,48,45,+3,Willian José,10
23/24,8,Villarreal,53,38,14,11,13,65,65,0,Alexander Sørloth,23
23/24,9,Valencia,49,38,13,10,15,40,45,-5,Hugo Duro,13
23/24,10,Alavés,46,38,12,10,16,36,46,-10,Samu Omorodion,8
23/24,11,Osasuna,45,38,12,9,17,45,56,-11,Ante Budimir,17
23/24,12,Getafe,43,38,10,13,15,42,54,-12,Borja Mayoral,15
23/24,13,Celta Vigo,41,38,10,11,17,46,57,-11,Jørgen Strand Larsen,13
23/24,14,Sevilla,41,38,10,11,17,48,54,-6,Youssef En-Nesyri,16
23/24,15,Mallorca,40,38,8,16,14,33,44,-11,Vedat Muriqi,7
23/24,16,Las Palmas,40,38,10,10,18,33,47,-14,Kirian Rodríguez,6
23/24,17,Rayo Vallecano,38,38,8,14,16,29,48,-19,Álvaro García,6
23/24,18,Cádiz,33,38,6,15,17,26,55,-29,Chris Ramos,5
23/24,19,Almería,21,38,3,12,23,43,75,-32,Sergio Arribas,9
23/24,20,Granada,21,38,4,9,25,38,79,-41,Myrto Uzuni,11
24/25,1,Barcelona,88,38,28,4,6,102,39,+63,Robert Lewandowski,27
24/25,2,Real Madrid,84,38,26,6,6,78,38,+40,Kylian Mbappé,31
24/25,3,Atlético Madrid,76,38,22,10,6,68,30,+38,Alexander Sørloth,20
24/25,4,Athletic Club,70,38,19,13,6,54,29,+25,Oihan Sancet,15
24/25,5,Villarreal,70,38,20,10,8,71,51,+20,Ayoze Pérez,19
24/25,6,Betis,60,38,16,12,10,57,50,+7,Isco,9
24/25,7,Celta Vigo,55,38,16,7,15,59,57,+2,Borja Iglesias,11
24/25,8,Rayo Vallecano,52,38,13,13,12,41,45,-4,Jorge de Frutos,6
24/25,9,Osasuna,52,38,12,16,10,48,52,-4,Ante Budimir,21
24/25,10,Mallorca,48,38,13,9,16,35,44,-9,Cyle Larin,7
24/25,11,Real Sociedad,46,38,13,7,18,35,46,-11,Mikel Oyarzabal,9
24/25,12,Valencia,46,38,11,13,14,44,54,-10,Hugo Duro,11
24/25,13,Getafe,42,38,11,9,18,34,39,-5,Mauro Arambarri,10
24/25,14,Espanyol,42,38,11,9,18,40,51,-11,Javi Puado,12
24/25,15,Alavés,42,38,10,12,16,38,48,-10,Kiké,13
24/25,16,Girona,41,38,11,8,19,44,60,-16,Cristhian Stuani,11
24/25,17,Sevilla,41,38,10,11,17,42,55,-13,Dodi Lukebakio,11
24/25,18,Leganés,40,38,9,13,16,39,56,-17,Dani Raba,8
24/25,19,Las Palmas,32,38,8,8,22,40,61,-21,Fábio Silva,10
24/25,20,Valladolid,16,38,4,4,30,26,90,-64,Mamadou Sylla,5
